"status_type","status_published","num_comments","num_shares","num_likes","dow","moy","pos_emo_int"
"photo",2016-02-23 23:36:00,18,2,279,2,2,5022
"status",2016-02-20 01:50:00,13,1,68,6,2,884
"status",2016-02-18 10:51:00,19,0,106,4,2,2014
"status",2016-02-18 02:30:00,19,2,73,4,2,1387
"status",2016-02-16 22:07:00,14,0,68,2,2,952
"photo",2016-02-14 07:03:00,5,0,12,7,2,60
"photo",2016-02-14 07:03:00,4,0,10,7,2,40
"video",2016-02-13 09:34:00,0,0,35,6,2,0
"link",2016-02-13 04:45:00,1,0,40,6,2,40
"video",2016-02-12 22:48:00,9,4,44,5,2,396
"link",2016-02-12 22:41:00,0,0,6,5,2,0
"photo",2016-02-12 03:55:00,4,0,80,5,2,320
"photo",2016-02-12 03:55:00,8,0,83,5,2,664
"photo",2016-02-12 01:25:00,2,1,66,5,2,132
"photo",2016-02-09 05:26:00,3,0,421,2,2,1263
"photo",2016-02-08 05:36:00,5,1,246,1,2,1230
"photo",2016-02-07 10:36:00,0,0,151,7,2,0
"photo",2016-02-07 09:56:00,6,0,304,7,2,1824
"photo",2016-02-07 06:51:00,19,2,263,7,2,4997
"photo",2016-02-04 04:09:00,16,2,216,4,2,3456
"status",2016-02-02 01:32:00,9,0,42,2,2,378
"photo",2016-02-02 01:17:00,11,0,289,2,2,3179
"photo",2016-02-01 07:26:00,8,0,330,1,2,2640
"photo",2016-02-01 05:28:00,2,0,320,1,2,640
"photo",2016-02-01 04:27:00,9,0,355,1,2,3195
"photo",2016-01-31 11:08:00,4,0,242,7,1,968
"photo",2016-01-31 07:20:00,13,0,471,7,1,6123
"photo",2016-01-31 02:24:00,7,0,320,7,1,2240
"photo",2016-01-30 09:21:00,2,0,486,6,1,972
"photo",2016-01-30 04:46:00,6,0,353,6,1,2118
"photo",2016-01-30 04:22:00,10,0,469,6,1,4690
"photo",2016-01-30 03:03:00,37,1,271,6,1,10027
"photo",2016-01-30 00:55:00,3,0,228,6,1,684
"photo",2016-01-29 07:11:00,11,0,495,5,1,5445
"photo",2016-01-29 03:29:00,5,0,381,5,1,1905
"photo",2016-01-28 06:07:00,10,0,480,4,1,4800
"photo",2016-01-26 23:33:00,6,0,140,2,1,840
"photo",2016-01-25 02:08:00,11,0,443,1,1,4873
"photo",2016-01-24 01:14:00,1,16,182,7,1,182
"photo",2016-01-23 02:05:00,0,1,121,6,1,0
"photo",2016-01-22 03:01:00,9,0,49,5,1,441
"status",2016-01-20 05:30:00,0,0,227,3,1,0
"photo",2016-01-17 02:34:00,6,0,230,7,1,1380
"photo",2016-01-16 03:43:00,26,2,192,6,1,4992
"photo",2016-01-15 07:58:00,11,0,417,5,1,4587
"photo",2016-01-15 07:34:00,8,0,552,5,1,4416
"status",2016-01-15 01:33:00,12,0,111,5,1,1332
"photo",2016-01-13 03:11:00,19,1,130,3,1,2470
"photo",2016-01-11 10:42:00,11,0,100,1,1,1100
"video",2016-01-11 04:30:00,11,0,50,1,1,550
"photo",2016-01-11 01:56:00,16,191,385,1,1,6160
"photo",2016-01-10 22:55:00,16,2,108,7,1,1728
"photo",2016-01-08 10:30:00,12,0,368,5,1,4416
"photo",2016-01-05 02:45:00,18,0,307,2,1,5526
"photo",2016-01-05 02:44:00,4,1,176,2,1,704
"photo",2016-01-05 02:37:00,13,1,246,2,1,3198
"photo",2016-01-05 02:20:00,30,0,152,2,1,4560
"photo",2016-01-03 06:55:00,5,0,286,7,1,1430
"status",2016-01-03 04:28:00,8,0,108,7,1,864
"photo",2016-01-03 04:23:00,8,0,25,7,1,200
"photo",2016-01-03 04:23:00,2,0,21,7,1,42
"photo",2015-12-31 08:20:00,7,1,318,4,12,2226
"photo",2015-12-29 06:29:00,16,1,370,2,12,5920
"photo",2015-12-28 03:55:00,3,0,58,1,12,174
"photo",2015-12-28 03:54:00,0,0,45,1,12,0
"photo",2015-12-28 03:40:00,0,0,69,1,12,0
"photo",2015-12-28 02:18:00,2,0,135,1,12,270
"photo",2015-12-25 04:49:00,11,3,212,5,12,2332
"photo",2015-12-24 22:26:00,3,1,184,4,12,552
"photo",2015-12-24 10:40:00,0,0,103,4,12,0
"photo",2015-12-22 21:38:00,9,0,302,2,12,2718
"photo",2015-12-22 06:46:00,9,2,246,2,12,2214
"photo",2015-12-21 08:57:00,0,0,117,1,12,0
"photo",2015-12-21 06:57:00,12,0,52,1,12,624
"photo",2015-12-21 02:03:00,8,0,317,1,12,2536
"photo",2015-12-20 06:04:00,13,1,189,7,12,2457
"photo",2015-12-20 05:15:00,19,0,192,7,12,3648
"photo",2015-12-19 09:18:00,8,0,96,6,12,768
"photo",2015-12-18 06:27:00,11,0,112,5,12,1232
"photo",2015-12-18 00:22:00,12,0,124,5,12,1488
"photo",2015-12-17 12:26:00,5,0,155,4,12,775
"photo",2015-12-16 09:09:00,16,0,167,3,12,2672
"photo",2015-12-16 04:44:00,13,0,157,3,12,2041
"status",2015-12-15 11:33:00,7,0,101,2,12,707
"photo",2015-12-14 06:43:00,20,0,230,1,12,4600
"photo",2015-12-09 09:28:00,5,1,136,3,12,680
"photo",2015-12-09 01:47:00,0,0,131,3,12,0
"status",2015-12-07 07:02:00,18,0,128,1,12,2304
"photo",2015-12-05 23:43:00,13,0,129,6,12,1677
"status",2015-12-02 08:26:00,18,16,376,3,12,6768
"status",2015-12-02 06:38:00,9,1,68,3,12,612
"status",2015-11-30 07:29:00,2,2,142,1,11,284
"status",2015-11-24 02:12:00,12,2,106,2,11,1272
"photo",2015-11-23 07:49:00,3,0,88,1,11,264
"status",2015-11-22 23:39:00,9,0,49,7,11,441
"status",2015-11-21 08:01:00,12,7,1052,6,11,12624
"photo",2015-11-21 04:13:00,7,0,948,6,11,6636
"photo",2015-11-19 20:42:00,23,0,1552,4,11,35696
"photo",2015-11-19 20:38:00,14,1,1580,4,11,22120
"status",2015-11-16 21:58:00,6,0,1241,1,11,7446
"status",2015-11-16 03:07:00,9,0,1054,1,11,9486
"status",2015-11-15 20:41:00,10,0,954,7,11,9540
"status",2015-11-11 22:49:00,14,2,1014,3,11,14196
"status",2015-11-11 03:44:00,0,1,1768,3,11,0
"status",2015-11-11 02:22:00,13,1,951,3,11,12363
"status",2015-11-10 02:11:00,34,0,1223,2,11,41582
"status",2015-11-08 07:21:00,13,1,987,7,11,12831
"status",2015-11-08 00:02:00,67,2,2799,7,11,187533
"photo",2015-11-06 21:19:00,1,0,102,5,11,102
"photo",2015-11-06 20:46:00,3,0,160,5,11,480
"photo",2015-11-06 00:38:00,15,3,1575,5,11,23625
"status",2015-11-05 03:17:00,9,2,945,4,11,8505
"photo",2015-11-04 03:35:00,14,0,1194,3,11,16716
"status",2015-11-04 02:37:00,9,1,1339,3,11,12051
"status",2015-11-03 01:46:00,6,0,963,2,11,5778
"photo",2015-11-02 20:37:00,25,0,1145,1,11,28625
"status",2015-11-02 05:21:00,8,3,950,1,11,7600
"photo",2015-11-01 22:07:00,23,1,2024,7,11,46552
"status",2015-11-01 04:47:00,13,0,950,7,11,12350
"photo",2015-11-01 04:28:00,10,0,951,7,11,9510
"status",2015-11-01 02:07:00,10,0,974,7,11,9740
"photo",2015-10-31 23:58:00,57,0,1139,6,10,64923
"status",2015-10-31 23:46:00,5,0,1061,6,10,5305
"status",2015-10-31 06:21:00,10,0,1018,6,10,10180
"status",2015-10-30 06:42:00,10,1,991,5,10,9910
"photo",2015-10-30 05:11:00,4,0,952,5,10,3808
"photo",2015-10-30 01:34:00,22,0,1999,5,10,43978
"status",2015-10-30 01:33:00,17,1,1251,5,10,21267
"status",2015-10-29 23:43:00,9,0,968,4,10,8712
"status",2015-10-28 22:33:00,6,1,1338,3,10,8028
"photo",2015-10-28 07:42:00,5,0,948,3,10,4740
"photo",2015-10-28 06:29:00,0,0,1,3,10,0
"photo",2015-10-28 06:19:00,0,2,1914,3,10,0
"status",2015-10-28 04:32:00,5,0,1377,3,10,6885
"status",2015-10-28 04:13:00,13,1,1244,3,10,16172
"status",2015-10-27 19:36:00,3,0,948,2,10,2844
"status",2015-10-27 08:32:00,5,0,1229,2,10,6145
"status",2015-10-27 06:38:00,12,0,1363,2,10,16356
"status",2015-10-27 06:29:00,6,0,956,2,10,5736
"photo",2015-10-26 09:41:00,28,0,1080,1,10,30240
"status",2015-10-25 03:48:00,9,0,994,7,10,8946
"status",2015-10-24 23:37:00,7,0,1419,6,10,9933
"photo",2015-10-24 09:09:00,6,1,954,6,10,5724
"status",2015-10-24 07:25:00,1,0,550,6,10,550
"status",2015-10-24 06:55:00,6,0,549,6,10,3294
"photo",2015-10-24 03:18:00,154,64,1143,6,10,176022
"status",2015-10-24 03:10:00,10,1,1356,6,10,13560
"photo",2015-10-23 14:19:00,2,0,1774,5,10,3548
"status",2015-10-21 23:51:00,49,0,1230,3,10,60270
"photo",2015-10-21 23:01:00,14,4,1451,3,10,20314
"photo",2015-10-21 02:06:00,3,0,1784,3,10,5352
"status",2015-10-21 01:50:00,8,1,1983,3,10,15864
"photo",2015-10-20 22:02:00,11,0,2632,2,10,28952
"photo",2015-10-19 03:14:00,8,0,2166,1,10,17328
"status",2015-10-16 23:09:00,12,1,1218,5,10,14616
"photo",2015-10-16 21:45:00,129,105,1724,5,10,222396
"photo",2015-10-12 06:39:00,8,1,2773,1,10,22184
"status",2015-10-12 02:11:00,211,78,1259,1,10,265649
"status",2015-10-12 02:09:00,9,0,1270,1,10,11430
"photo",2015-10-10 03:14:00,8,0,1921,6,10,15368
"status",2015-10-09 01:37:00,222,72,1164,5,10,258408
"photo",2015-10-09 00:07:00,11,1,1029,5,10,11319
"video",2015-10-08 03:43:00,12,5,1197,4,10,14364
"video",2015-10-08 02:59:00,6,1,951,4,10,5706
"video",2015-10-08 00:50:00,14,11,121,4,10,1694
"status",2015-10-07 23:06:00,10,0,169,3,10,1690
"video",2015-10-07 01:18:00,14,11,2186,3,10,30604
"video",2015-10-07 01:00:00,7,0,1910,3,10,13370
"photo",2015-10-05 01:55:00,20,3,1069,1,10,21380
"status",2015-10-02 09:24:00,18,0,2177,5,10,39186
"photo",2015-09-28 06:32:00,13,0,1825,1,9,23725
"photo",2015-09-28 03:26:00,1,0,1880,1,9,1880
"photo",2015-09-28 00:08:00,10,0,1265,1,9,12650
"status",2015-09-25 07:44:00,260,72,2297,5,9,597220
"photo",2015-09-24 02:56:00,290,87,1700,4,9,493000
"photo",2015-09-24 01:49:00,2,0,976,4,9,1952
"photo",2015-09-23 04:13:00,21,3,1077,3,9,22617
"status",2015-09-20 22:53:00,330,72,1346,7,9,444180
"photo",2015-09-20 22:50:00,14,1,1188,7,9,16632
"status",2015-09-20 21:45:00,15,2,1081,7,9,16215
"photo",2015-09-16 07:16:00,28,3,1898,3,9,53144
"video",2015-09-15 12:25:00,15,19,1916,2,9,28740
"video",2015-09-14 01:43:00,17,23,1092,1,9,18564
"photo",2015-09-13 01:09:00,31,2,1566,7,9,48546
"status",2015-09-13 01:08:00,7,0,992,7,9,6944
"status",2015-09-13 01:03:00,199,62,1172,7,9,233228
"video",2015-09-13 00:24:00,12,14,1646,7,9,19752
"photo",2015-09-12 02:39:00,23,2,1966,6,9,45218
"video",2015-09-12 02:19:00,12,26,2020,6,9,24240
"photo",2015-09-11 10:15:00,29,2,2055,5,9,59595
"photo",2015-09-11 01:17:00,15,0,1830,5,9,27450
"status",2015-09-10 05:22:00,11,0,2244,4,9,24684
"photo",2015-09-10 04:53:00,10,8,1128,4,9,11280
"photo",2015-09-10 01:21:00,286,106,1842,4,9,526812
"photo",2015-09-07 22:14:00,13,1,2606,1,9,33878
"photo",2015-09-05 02:57:00,44,10,2153,6,9,94732
"photo",2015-09-04 00:58:00,225,76,2042,5,9,459450
"photo",2015-09-01 00:26:00,363,122,1125,2,9,408375
"photo",2015-08-30 03:46:00,32,1,2098,7,8,67136
"photo",2015-08-30 00:16:00,17,1,1956,7,8,33252
"photo",2015-08-29 23:40:00,24,1,2444,6,8,58656
"photo",2015-08-29 10:11:00,10,0,1803,6,8,18030
"status",2015-08-29 02:39:00,8,0,1042,6,8,8336
"photo",2015-08-28 23:39:00,27,1,1231,5,8,33237
"photo",2015-08-27 04:47:00,25,5,2045,4,8,51125
"video",2015-08-27 03:05:00,74,103,1915,4,8,141710
"photo",2015-08-27 00:19:00,21,8,1995,4,8,41895
"photo",2015-08-26 23:28:00,56,14,2183,3,8,122248
"photo",2015-08-26 03:58:00,297,92,1140,3,8,338580
"photo",2015-08-25 00:26:00,15,0,1805,2,8,27075
"photo",2015-08-25 00:13:00,354,119,1962,2,8,694548
"link",2015-08-19 20:38:00,8,0,1933,3,8,15464
"photo",2015-08-16 11:39:00,16,0,2636,7,8,42176
"photo",2015-08-14 23:34:00,284,78,2264,5,8,642976
"photo",2015-08-12 05:28:00,2,0,2606,3,8,5212
"photo",2015-08-07 22:40:00,13,0,1618,5,8,21034
"photo",2015-08-07 06:22:00,14,0,2947,5,8,41258
"photo",2015-08-06 22:32:00,206,64,2062,4,8,424772
"status",2015-08-06 03:48:00,13,0,1987,4,8,25831
"photo",2015-08-05 06:29:00,8,0,2265,3,8,18120
"video",2015-08-04 07:40:00,0,0,1249,2,8,0
"photo",2015-08-03 04:10:00,10,0,2791,1,8,27910
"link",2015-08-02 04:45:00,1,0,2214,7,8,2214
"photo",2015-08-01 22:40:00,4,41,2620,6,8,10480
"video",2015-08-01 01:59:00,7,4,2025,6,8,14175
"status",2015-07-29 02:57:00,6,1,1968,3,7,11808
"photo",2015-07-29 01:11:00,8,0,2204,3,7,17632
"photo",2015-07-19 04:41:00,361,93,2211,7,7,798171
"photo",2015-07-16 02:37:00,11,0,2399,4,7,26389
"photo",2015-07-16 01:49:00,390,122,2260,4,7,881400
"status",2015-07-15 03:14:00,10,0,1977,3,7,19770
"photo",2015-07-14 01:21:00,12,0,2348,2,7,28176
"photo",2015-07-09 21:58:00,32,0,2489,4,7,79648
"photo",2015-07-09 21:57:00,7,0,2293,4,7,16051
"photo",2015-07-09 03:55:00,10,0,2221,4,7,22210
"photo",2015-07-06 22:35:00,509,35,2314,1,7,1177826
"photo",2015-07-06 02:56:00,11,0,1279,1,7,14069
"photo",2015-07-05 00:51:00,11,0,2404,7,7,26444
"status",2015-07-04 00:48:00,32,0,2010,6,7,64320
"photo",2015-07-01 08:18:00,22,2,1191,3,7,26202
"photo",2015-06-29 23:44:00,10,0,1392,1,6,13920
"video",2015-06-26 01:46:00,10,9,2204,5,6,22040
"status",2015-06-26 01:11:00,17,1,1929,5,6,32793
"photo",2015-06-25 23:26:00,0,2,7,4,6,0
"photo",2015-06-25 07:51:00,1,0,12,4,6,12
"photo",2015-06-25 04:53:00,0,2,3,4,6,0
"status",2015-06-24 04:00:00,21,5,2303,3,6,48363
"video",2015-06-23 04:35:00,4,15,1926,2,6,7704
"video",2015-06-22 00:24:00,5,7,2288,1,6,11440
"status",2015-06-21 23:59:00,15,14,2419,7,6,36285
"status",2015-06-21 23:42:00,14,0,2297,7,6,32158
"status",2015-06-21 22:22:00,15,0,1888,7,6,28320
"video",2015-06-21 01:06:00,11,12,2033,7,6,22363
"photo",2015-06-21 01:01:00,22,0,2414,7,6,53108
"video",2015-06-20 02:48:00,12,1,1982,6,6,23784
"status",2015-06-20 01:16:00,13,1,2223,6,6,28899
"photo",2015-06-20 00:38:00,18,0,2341,6,6,42138
"status",2015-06-19 00:39:00,7,2,2101,5,6,14707
"video",2015-06-18 03:39:00,2,1,2201,4,6,4402
"video",2015-06-18 01:32:00,4,12,2020,4,6,8080
"link",2015-06-17 04:21:00,70,12,1940,3,6,135800
"photo",2015-06-16 23:41:00,12,0,2071,2,6,24852
"photo",2015-06-14 22:23:00,32,2,2080,7,6,66560
"photo",2015-06-12 09:02:00,17,0,2382,5,6,40494
"video",2015-06-10 09:00:00,5,8,2259,3,6,11295
"video",2015-06-10 09:00:00,2,9,55,3,6,110
"photo",2015-06-10 04:57:00,7,6,2242,3,6,15694
"photo",2015-06-08 11:00:00,16,0,2028,1,6,32448
"video",2015-06-08 05:05:00,1,6,2300,1,6,2300
"photo",2015-06-07 05:23:00,0,1,6,7,6,0
"video",2015-06-07 03:32:00,2,6,2273,7,6,4546
"photo",2015-06-05 22:20:00,36,4,2132,5,6,76752
"photo",2015-06-04 22:40:00,22,1,2074,4,6,45628
"photo",2015-06-04 22:32:00,30,1,2276,4,6,68280
"status",2015-06-04 02:18:00,14,2,2319,4,6,32466
"video",2015-06-03 04:25:00,3,7,2217,3,6,6651
"video",2015-06-02 04:59:00,13,18,2329,2,6,30277
"photo",2015-06-02 02:25:00,18,1,2174,2,6,39132
"video",2015-06-01 03:26:00,0,1,2252,1,6,0
"video",2015-05-31 03:21:00,3,0,2251,7,5,6753
"link",2015-05-22 08:21:00,26,0,1931,5,5,50206
"photo",2015-05-22 03:11:00,213,68,2095,5,5,446235
"photo",2015-05-22 03:09:00,28,0,2030,5,5,56840
"photo",2015-05-21 02:09:00,449,119,2634,4,5,1182666
"link",2015-05-20 08:00:00,35,1,2026,3,5,70910
"photo",2015-05-20 00:13:00,6,0,2118,3,5,12708
"photo",2015-05-19 21:42:00,28,2,2112,2,5,59136
"photo",2015-05-19 06:07:00,13,0,2675,2,5,34775
"photo",2015-05-18 22:55:00,11,0,2126,1,5,23386
"video",2015-05-18 06:20:00,179,48,2418,1,5,432822
"video",2015-05-18 02:43:00,4,1,1892,1,5,7568
"photo",2015-05-17 06:26:00,12,0,2462,7,5,29544
"video",2015-05-17 05:33:00,175,101,3639,7,5,636825
"video",2015-05-17 01:06:00,14,37,270,7,5,3780
"photo",2015-05-17 00:47:00,24,3,380,7,5,9120
"status",2015-05-16 09:52:00,16,0,421,6,5,6736
"photo",2015-05-12 05:51:00,8,0,2253,2,5,18024
"photo",2015-05-12 05:51:00,7,1,2346,2,5,16422
"video",2015-05-10 22:40:00,281,87,2999,7,5,842719
"video",2015-05-09 01:28:00,5,1,1904,6,5,9520
"photo",2015-05-08 04:21:00,4,0,2402,5,5,9608
"photo",2015-05-06 22:07:00,42,2,2239,3,5,94038
"status",2015-05-06 05:14:00,46,0,2332,3,5,107272
"video",2015-04-24 04:26:00,8,9,2374,5,4,18992
"photo",2015-04-23 21:45:00,10,0,2492,4,4,24920
"status",2015-04-23 09:05:00,22,1,2072,4,4,45584
"photo",2015-04-23 03:30:00,21,0,2826,4,4,59346
"photo",2015-04-23 03:25:00,3,0,2032,4,4,6096
"photo",2015-04-23 03:23:00,6,2,2154,4,4,12924
"photo",2015-04-23 03:21:00,3,1,1997,4,4,5991
"photo",2015-04-14 06:10:00,7,0,2320,2,4,16240
"photo",2015-04-12 13:53:00,10,0,2190,7,4,21900
"photo",2015-04-10 09:04:00,14,3,2545,5,4,35630
"photo",2015-04-10 07:55:00,8,0,2452,5,4,19616
"photo",2015-04-10 06:31:00,50,1,4710,5,4,235500
"photo",2015-04-10 06:07:00,8,0,2549,5,4,20392
"photo",2015-04-07 22:48:00,19,1,3190,2,4,60610
"photo",2015-04-07 22:40:00,12,0,3510,2,4,42120
"photo",2015-04-07 05:57:00,10,2,2255,2,4,22550
"photo",2015-04-07 05:56:00,5,1,2309,2,4,11545
"photo",2015-04-06 21:54:00,7,2,2051,1,4,14357
"photo",2015-04-03 22:31:00,11,0,2350,5,4,25850
"video",2015-03-25 03:09:00,19,1,2105,3,3,39995
"status",2015-03-25 00:46:00,108,0,2291,3,3,247428
"photo",2015-03-24 00:05:00,53,4,2349,2,3,124497
"photo",2015-03-22 04:53:00,19,0,2157,7,3,40983
"photo",2015-03-21 22:09:00,4,1,2151,6,3,8604
"photo",2015-03-21 04:15:00,23,0,2615,6,3,60145
"status",2015-03-20 00:04:00,32,1,2148,5,3,68736
"photo",2015-03-13 20:58:00,24,0,3115,5,3,74760
"photo",2015-03-12 09:39:00,16,0,1302,4,3,20832
"photo",2015-03-11 22:40:00,12,0,1815,3,3,21780
"photo",2015-03-11 04:27:00,20,0,1379,3,3,27580
"link",2015-03-10 20:50:00,3,26,1169,2,3,3507
"photo",2015-03-09 09:25:00,26,2,1509,1,3,39234
"photo",2015-03-09 08:31:00,6,0,956,1,3,5736
"photo",2015-03-07 22:53:00,10,0,1220,6,3,12200
"photo",2015-03-01 23:17:00,38,2,1601,7,3,60838
"status",2015-02-28 03:58:00,85,0,1496,6,2,127160
"video",2015-02-28 03:41:00,24,18,1103,6,2,26472
"status",2015-02-27 23:42:00,14,0,1526,5,2,21364
"photo",2015-02-26 22:49:00,32,4,1159,4,2,37088
"link",2015-02-24 07:19:00,14,4,1010,2,2,14140
"photo",2015-02-20 12:04:00,29,5,1182,5,2,34278
"photo",2015-02-19 06:01:00,11,1,1428,4,2,15708
"photo",2015-02-19 06:00:00,12,1,1473,4,2,17676
"photo",2015-02-19 01:40:00,5,0,1180,4,2,5900
"photo",2015-02-18 23:59:00,9,0,1864,3,2,16776
"link",2015-02-18 20:53:00,9,0,1032,3,2,9288
"photo",2015-02-18 00:48:00,15,1,1630,3,2,24450
"photo",2015-02-15 23:12:00,13,0,545,7,2,7085
"photo",2015-02-15 03:16:00,38,5,1193,7,2,45334
"photo",2015-02-14 23:20:00,11,1,1477,6,2,16247
"photo",2015-02-14 13:29:00,7,1,1272,6,2,8904
"photo",2015-02-13 22:50:00,21,0,1238,5,2,25998
"photo",2015-02-13 04:34:00,13,1,1500,5,2,19500
"status",2015-02-13 02:47:00,58,8,1917,5,2,111186
"photo",2015-02-11 22:18:00,66,6,1126,3,2,74316
"photo",2015-02-09 09:36:00,41,3,1246,1,2,51086
"photo",2015-02-08 05:35:00,25,2,1540,7,2,38500
"photo",2015-02-02 04:10:00,35,4,1282,1,2,44870
"photo",2015-02-01 03:14:00,42,6,1253,7,2,52626
"photo",2015-01-31 23:55:00,44,3,1484,6,1,65296
"photo",2015-01-29 22:47:00,40,3,1445,4,1,57800
"link",2015-01-29 22:27:00,16,8,1132,4,1,18112
"photo",2015-01-26 22:55:00,55,8,1610,1,1,88550
"video",2015-01-26 06:02:00,36,9,1714,1,1,61704
"video",2015-01-25 03:42:00,26,1,2785,7,1,72410
"photo",2015-01-24 23:02:00,17,2,1884,6,1,32028
"status",2015-01-24 23:01:00,6,0,1667,6,1,10002
"video",2015-01-23 23:14:00,9,5,1204,5,1,10836
"link",2015-01-23 19:58:00,0,0,1182,5,1,0
"link",2015-01-23 09:48:00,7,1,1212,5,1,8484
"photo",2015-01-23 08:27:00,24,1,2674,5,1,64176
"photo",2015-01-22 05:38:00,21,3,2054,4,1,43134
"photo",2015-01-19 00:45:00,51,4,1469,1,1,74919
"photo",2015-01-19 00:43:00,10,1,1668,1,1,16680
"photo",2015-01-18 22:12:00,9,1,2000,7,1,18000
"photo",2015-01-18 04:30:00,11,0,1497,7,1,16467
"link",2015-01-17 12:02:00,4,0,1342,6,1,5368
"photo",2015-01-15 23:09:00,6,0,1268,4,1,7608
"photo",2015-01-15 23:07:00,8,0,1428,4,1,11424
"photo",2015-01-14 08:17:00,5,0,1492,3,1,7460
"video",2015-01-13 05:58:00,122,98,2621,2,1,319762
"video",2015-01-13 00:12:00,14,29,1277,2,1,17878
"photo",2015-01-12 00:03:00,30,0,1833,1,1,54990
"status",2015-01-11 04:52:00,37,0,2149,7,1,79513
"photo",2015-01-10 23:32:00,46,9,1562,6,1,71852
"status",2015-01-10 23:09:00,3,1,98,6,1,294
"status",2015-01-10 22:22:00,43,0,264,6,1,11352
"photo",2015-01-10 05:21:00,13,4,1253,6,1,16289
"photo",2015-01-10 05:05:00,18,1,1300,6,1,23400
"photo",2015-01-09 23:53:00,8,0,1451,5,1,11608
"link",2015-01-07 02:59:00,6,1,1444,3,1,8664
"link",2015-01-07 02:59:00,0,0,1182,3,1,0
"photo",2015-01-07 02:03:00,28,5,366,3,1,10248
"photo",2015-01-02 23:16:00,6,0,1424,5,1,8544
"video",2015-01-02 03:41:00,23,47,1294,5,1,29762
"video",2014-12-10 07:42:00,113,38,1501,3,12,169613
"photo",2014-11-22 01:36:00,0,0,16,6,11,0
"photo",2014-11-21 05:13:00,0,0,40,5,11,0
"video",2014-10-25 09:12:00,131,50,1078,6,10,141218
